,Seed,Region,Team,Opponent,Team Score,Opponent Score,Result,Year,Round,team_game_result,fg_pct,fg3_pct,ft_pct,efg_pct,fga,fg3a,fta,orb,drb,tov,opp_name_abbr,pt_diff
0,1,east,Duke,North Dakota State,85,62,1,2019,1,4,0.9254835820895523,0.9357617866004965,0.9369271966527198,0.8934839424141751,0.8550805194805197,1.0531347447073476,0.9609189504373178,0.7720248888888891,1.0083409579667646,1.1057762993762996,"['Wake Forest', 'North Carolina', 'Syracuse', 'North Carolina', 'Florida State']",0.6368
1,9,east,UCF,VCU,73,58,1,2019,1,3,0.9794510396975427,0.9290463981849122,0.9865015053763443,0.8858292993630575,0.9947353424657535,0.9114285714285717,1.0825639445300463,1.0710570342205326,0.8735237163814183,1.1951104000000004,"['South Florida', 'Houston', 'Cincinnati', 'Temple', 'Memphis']",0.04224000000000032
2,12,east,Liberty,Mississippi State,80,76,1,2019,1,5,1.0122094903339194,0.9579022761760244,1.045062833675565,0.739298969072165,1.0625604336043362,0.9827175572519087,1.0661264516129034,0.8891528384279477,1.025158166862515,0.8406607792207795,"['Kennesaw State', 'NJIT', 'Jacksonville', 'North Florida', 'Lipscomb']",2.3699200000000005
3,4,east,Virginia Tech,Saint Louis,66,52,1,2019,1,3,0.9727741007194245,0.9928800000000002,0.9831659574468088,1.047152827918171,0.8442923857868022,1.085716171617162,1.0112967148488834,0.8071578947368422,1.0510880829015548,0.7134105263157896,"['Duke', 'Florida State', 'Miami (FL)', 'Miami (FL)', 'Florida State']",0.98368
4,6,east,Maryland,Belmont,79,77,1,2019,1,2,0.9580202334630352,0.932009638554217,0.9723581291759467,0.8977923620933524,0.8875094555873927,1.0615374800637962,1.0656000000000003,0.9175246200607902,0.9261886792452833,1.001240281030445,"['Ohio State', 'Penn State', 'Michigan', 'Minnesota', 'Nebraska']",0.25983999999999996
5,3,east,LSU,Yale,79,74,1,2019,1,4,0.8955125,1.0530434782608697,0.9137995623632386,0.9268000000000001,0.7859561128526648,0.7498553615960102,0.9705021276595747,1.1588598130841121,1.1388442330558863,0.8113015873015873,"['Texas A&M', 'Alabama', 'Florida', 'Vanderbilt', 'Florida']",1.5811200000000003
6,10,east,Minnesota,Louisville,86,76,1,2019,1,3,0.9767103734439836,0.9258373712604219,0.9940855172413796,0.8344835820895523,0.8918763406940065,1.0787094339622643,0.9722768328445748,0.7037892215568864,1.1146691943127962,1.0092332493702771,"['Purdue', 'Maryland', 'Penn State', 'Purdue', 'Michigan']",-0.7446400000000001
7,2,east,Michigan State,Bradley,76,65,1,2019,1,5,1.0300927536231885,0.9701660986547085,1.0048800000000002,1.0267165876777253,1.1437333333333335,0.9540785046728973,1.0989428950863216,0.8860800000000002,0.9879145205479455,0.8966866807610995,"['Nebraska', 'Michigan', 'Ohio State', 'Wisconsin', 'Michigan']",2.2377600000000006
8,16,east,North Dakota State,Duke,62,85,0,2019,1,5,1.0052829629629632,1.008348909657321,0.9881268722466962,0.9651692307692311,1.145468493150685,1.130231647634584,0.9680308880308881,1.1785326633165831,1.042107270560191,0.8222824858757064,"['Purdue Fort Wayne', 'Oral Roberts', 'Western Illinois', 'Omaha', 'North Carolina Central']",1.0688
9,8,east,VCU,UCF,58,73,0,2019,1,4,1.0190467065868267,0.9900564102564104,1.0161132420091326,1.0450428015564206,0.9789377049180328,0.9951497757847533,0.9886219686162626,1.0038704761904764,0.8341875930521092,0.8790613333333335,"['Saint Louis', 'Richmond', 'George Mason', ""Saint Joseph's"", 'Rhode Island']",1.6329600000000002
10,5,east,Mississippi State,Liberty,76,80,0,2019,1,2,0.9932424908424909,0.996820988900101,0.9652474576271187,1.1982759689922484,0.9673336870026528,1.0499956723338486,0.9049037656903767,1.197593002915452,1.0274704225352116,1.1732390022675738,"['Auburn', 'Tennessee', 'Texas A&M', 'Texas A&M', 'Tennessee']",0.07583999999999987
11,13,east,Saint Louis,Virginia Tech,52,66,0,2019,1,4,0.9429344753747326,1.0325052631578948,0.942307913669065,0.9941333333333333,1.009063157894737,0.6962551297898643,0.9879946488294318,1.091500228832952,0.9779591836734696,0.7913628318584074,"['St. Bonaventure', 'Richmond', 'Dayton', 'Davidson', 'St. Bonaventure']",0.37055999999999994
12,11,east,Belmont,Maryland,77,79,0,2019,1,4,1.070137931034483,1.0170934097421205,1.04645140562249,1.17162169197397,1.0563741935483872,0.7385819397993311,1.1253188602442337,0.8751546558704454,0.9918139534883723,0.6868363636363637,"['UT Martin', 'Southeast Missouri State', 'Austin Peay', 'Murray State', 'Temple']",4.520640000000001
